Name,Roll No.,Total Time Spent,Start Time,End Time,Date
ARYAN,11,0,21:11:05,21:11:05,17/08/2023
ARYAN,11,0,14:34:41,14:34:41,18/08/2023
aryan,11,0,14:39:30,14:39:30,18/08/2023
aryaN,11,0,14:47:52,14:47:52,18/08/2023
Shantanu,25,0,14:57:42,14:57:42,18/08/2023
shantanu,25,0,15:37:45,15:37:45,18/08/2023
aryan,11,0,18:41:51,18:41:51,19/08/2023
aryan,11,0,18:45:00,18:45:00,21/08/2023
aryan,11,0,19:31:18,19:31:18,21/08/2023
aryan,11,0,19:35:03,19:35:03,21/08/2023
Dummy1,1,0,20:13:48,20:13:48,24/08/2023
Dummy1,1,0,20:21:26,20:21:26,24/08/2023
Dummy1,1,0,22:22:31,22:22:31,24/08/2023
Dummy1,1,0,22:31:59,22:31:59,24/08/2023
Dummy1,1,0,22:36:55,22:36:55,24/08/2023
Dummy1,1,0,00:36:30,00:36:30,25/08/2023
Dummy1,1,0,00:39:28,00:39:28,25/08/2023
Dummy1,1,0,00:42:06,00:42:06,25/08/2023
Dummy1,1,0,00:44:08,00:44:08,25/08/2023
Dummy1,1,0,00:45:19,00:45:19,25/08/2023
Dummy1,1,0,00:46:35,00:46:35,25/08/2023
Dummy1,1,0,01:01:54,01:01:54,25/08/2023
Dummy1,1,0,01:03:12,01:03:12,25/08/2023
Dummy1,1,0,01:07:40,01:07:40,25/08/2023
Dummy1,1,0,01:15:58,01:15:58,25/08/2023
Dummy1,1,0,01:16:39,01:16:39,25/08/2023
Dummy1,1,0,01:19:45,01:19:45,25/08/2023
Dummy1,1,0,01:20:31,01:20:31,25/08/2023
